0 1 A "A:
1 0 <eps> <eps>
0 2 ABSOLUT a
2 3 <eps> p
3 4 <eps> s
4 5 <eps> U
5 6 <eps> "l
6 7 <eps> }:
7 8 <eps> t
8 0 <eps> <eps>
0 9 ACCEPTERA a
9 10 <eps> k
10 11 <eps> s
11 12 <eps> e
12 13 <eps> p
13 14 <eps> "t
14 15 <eps> e:
15 16 <eps> r
16 17 <eps> a
17 0 <eps> <eps>
0 18 ADAM "A:
18 19 <eps> d
19 20 <eps> a
20 21 <eps> m
21 0 <eps> <eps>
0 22 ADJÖ a
22 23 <eps> "j
23 24 <eps> 9
24 0 <eps> <eps>
0 25 ADRESS a
25 26 <eps> "d
26 27 <eps> r
27 28 <eps> E
28 29 <eps> s
29 0 <eps> <eps>
0 30 ADVOKAT a
30 31 <eps> d
31 32 <eps> v
32 33 <eps> U
33 34 <eps> "k
34 35 <eps> A:
35 36 <eps> t
36 0 <eps> <eps>
0 37 AFFÄR a
37 38 <eps> "f
38 39 <eps> E:
39 40 <eps> r
40 0 <eps> <eps>
0 41 AFFÄREN a
41 42 <eps> "f
42 43 <eps> E:
43 44 <eps> r
44 45 <eps> e
45 46 <eps> n
46 0 <eps> <eps>
0 47 AFFÄRER a
47 48 <eps> "f
48 49 <eps> E:
49 50 <eps> r
50 51 <eps> e
51 52 <eps> r
52 0 <eps> <eps>
0 53 AGENT a
53 54 <eps> "g
54 55 <eps> E
55 56 <eps> n
56 57 <eps> t
57 0 <eps> <eps>
0 58 AJ "a
58 59 <eps> j
59 0 <eps> <eps>
0 60 AKTA "a
60 61 <eps> k
61 62 <eps> t
62 63 <eps> a
63 0 <eps> <eps>
0 64 AL "A:
64 65 <eps> l
65 0 <eps> <eps>
0 66 ALAN a
66 67 <eps> "l
67 68 <eps> A:
68 69 <eps> n
69 0 <eps> <eps>
0 70 ALDRIG "a
70 71 <eps> l
71 72 <eps> d
72 73 <eps> r
73 74 <eps> I
74 75 <eps> g
75 0 <eps> <eps>
0 76 ALEX "a
76 77 <eps> l
77 78 <eps> e
78 79 <eps> k
79 80 <eps> s
80 0 <eps> <eps>
0 81 ALICE "a
81 82 <eps> l
82 83 <eps> I
83 84 <eps> s
84 0 <eps> <eps>
0 85 ALL "a
85 86 <eps> l
86 0 <eps> <eps>
0 87 ALLA "a
87 88 <eps> l
88 89 <eps> a
89 0 <eps> <eps>
0 90 ALLDELES "a
90 91 <eps> l
91 92 <eps> d
92 93 <eps> e
93 94 <eps> l
94 95 <eps> e
95 96 <eps> s
96 0 <eps> <eps>
0 97 ALLIHOP a
97 98 <eps> l
98 99 <eps> I
99 100 <eps> "h
100 101 <eps> u:
101 102 <eps> p
102 0 <eps> <eps>
0 103 ALLIHOPA a
103 104 <eps> l
104 105 <eps> I
105 106 <eps> "h
106 107 <eps> u:
107 108 <eps> p
108 109 <eps> a
109 0 <eps> <eps>
0 110 ALLS "a
110 111 <eps> l
111 112 <eps> s
112 0 <eps> <eps>
0 113 ALLT "a
113 114 <eps> l
114 115 <eps> t
115 0 <eps> <eps>
0 116 ALLTID "a
116 117 <eps> l
117 118 <eps> t
118 119 <eps> I
119 120 <eps> d
120 0 <eps> <eps>
0 121 ALLTIHOP a
121 122 <eps> l
122 123 <eps> t
123 124 <eps> I
124 125 <eps> "h
125 126 <eps> u:
126 127 <eps> p
127 0 <eps> <eps>
0 128 ALLTING "a
128 129 <eps> l
129 130 <eps> t
130 131 <eps> I
131 132 <eps> N
132 0 <eps> <eps>
0 133 ALLTSÅ "a
133 134 <eps> l
134 135 <eps> t
135 136 <eps> s
136 137 <eps> O
137 0 <eps> <eps>
0 138 ALLVAR "a
138 139 <eps> l
139 140 <eps> v
140 141 <eps> A:
141 142 <eps> r
142 0 <eps> <eps>
0 143 ALLVARLIGT "a
143 144 <eps> l
144 145 <eps> %v
145 146 <eps> A:
146 147 <eps> l`
147 148 <eps> I
148 149 <eps> k
149 150 <eps> t
150 0 <eps> <eps>
0 151 AMATÖRAKTIG a
151 152 <eps> m
152 153 <eps> a
153 154 <eps> "t
154 155 <eps> 2:
155 156 <eps> r
156 157 <eps> %a
157 158 <eps> k
158 159 <eps> t
159 160 <eps> I
160 161 <eps> g
161 0 <eps> <eps>
0 162 AMERIKA a
162 163 <eps> "m
163 164 <eps> e:
164 165 <eps> r
165 166 <eps> I
166 167 <eps> k
167 168 <eps> a
168 0 <eps> <eps>
0 169 AMERIKANSKA a
169 170 <eps> m
170 171 <eps> e
171 172 <eps> r
172 173 <eps> I
173 174 <eps> "k
174 175 <eps> A:
175 176 <eps> n
176 177 <eps> s
177 178 <eps> k
178 179 <eps> a
179 0 <eps> <eps>
0 180 AN "a
180 181 <eps> n
181 0 <eps> <eps>
0 182 AND "a
182 183 <eps> n
183 184 <eps> d
184 0 <eps> <eps>
0 185 ANDAS "a
185 186 <eps> n
186 187 <eps> d
187 188 <eps> a
188 189 <eps> s
189 0 <eps> <eps>
0 190 ANDRA "a
190 191 <eps> n
191 192 <eps> d
192 193 <eps> r
193 194 <eps> A:
194 0 <eps> <eps>
0 195 ANDY "a
195 196 <eps> n
196 197 <eps> d
197 198 <eps> Y
198 0 <eps> <eps>
0 199 ANING "A:
199 200 <eps> n
200 201 <eps> I
201 202 <eps> N
202 0 <eps> <eps>
0 203 ANLEDNING "a
203 204 <eps> n
204 205 <eps> %l
205 206 <eps> e:
206 207 <eps> d
207 208 <eps> n
208 209 <eps> I
209 210 <eps> N
210 0 <eps> <eps>
0 211 ANNA "a
211 212 <eps> n
212 213 <eps> a
213 0 <eps> <eps>
0 214 ANNAN "a
214 215 <eps> n
215 216 <eps> a
216 217 <eps> n
217 0 <eps> <eps>
0 218 ANNANSTANS "a
218 219 <eps> n
219 220 <eps> a
220 221 <eps> n
221 222 <eps> %s
222 223 <eps> t
223 224 <eps> a
224 225 <eps> n
225 226 <eps> s
226 0 <eps> <eps>
0 227 ANNARS "a
227 228 <eps> n
228 229 <eps> a
229 230 <eps> s`
230 0 <eps> <eps>
0 231 ANNAT "a
231 232 <eps> n
232 233 <eps> a
233 234 <eps> t
234 0 <eps> <eps>
0 235 ANNORLUNDA "a
235 236 <eps> n
236 237 <eps> U
237 238 <eps> %l`
238 239 <eps> u0
239 240 <eps> n
240 241 <eps> d
241 242 <eps> a
242 0 <eps> <eps>
0 243 ANSER "a
243 244 <eps> n
244 245 <eps> %s
245 246 <eps> e:
246 247 <eps> r
247 0 <eps> <eps>
0 248 ANSIKTE "a
248 249 <eps> n
249 250 <eps> s
250 251 <eps> I
251 252 <eps> k
252 253 <eps> t
253 254 <eps> e
254 0 <eps> <eps>
0 255 ANSIKTET "a
255 256 <eps> n
256 257 <eps> s
257 258 <eps> I
258 259 <eps> k
259 260 <eps> t
260 261 <eps> e
261 262 <eps> t
262 0 <eps> <eps>
0 263 ANSVAR "a
263 264 <eps> n
264 265 <eps> %s
265 266 <eps> v
266 267 <eps> A:
267 268 <eps> r
268 0 <eps> <eps>
0 269 ANSVARIG "a
269 270 <eps> n
270 271 <eps> %s
271 272 <eps> v
272 273 <eps> A:
273 274 <eps> r
274 275 <eps> I
275 276 <eps> g
276 0 <eps> <eps>
0 277 ANTAGLIGEN "a
277 278 <eps> n
278 279 <eps> %t
279 280 <eps> A:
280 281 <eps> g
281 282 <eps> l
282 283 <eps> I
283 284 <eps> g
284 285 <eps> e
285 286 <eps> n
286 0 <eps> <eps>
0 287 ANTAR "a
287 288 <eps> n
288 289 <eps> %t
289 290 <eps> A:
290 291 <eps> r
291 0 <eps> <eps>
0 292 ANTINGEN "a
292 293 <eps> n
293 294 <eps> t
294 295 <eps> I
295 296 <eps> N
296 297 <eps> e
297 298 <eps> n
298 0 <eps> <eps>
0 299 ANVÄND "a
299 300 <eps> n
300 301 <eps> %v
301 302 <eps> E
302 303 <eps> n
303 304 <eps> d
304 0 <eps> <eps>
0 305 ANVÄNDA "a
305 306 <eps> n
306 307 <eps> %v
307 308 <eps> E
308 309 <eps> n
309 310 <eps> d
310 311 <eps> a
311 0 <eps> <eps>
0 312 ANVÄNDE "a
312 313 <eps> n
313 314 <eps> %v
314 315 <eps> E
315 316 <eps> n
316 317 <eps> d
317 318 <eps> e
318 0 <eps> <eps>
0 319 ANVÄNDER "a
319 320 <eps> n
320 321 <eps> %v
321 322 <eps> E
322 323 <eps> n
323 324 <eps> d
324 325 <eps> e
325 326 <eps> r
326 0 <eps> <eps>
0 327 AR "A:
327 328 <eps> r
328 0 <eps> <eps>
0 329 ARBETA "a
329 330 <eps> r
330 331 <eps> b
331 332 <eps> e:
332 333 <eps> t
333 334 <eps> a
334 0 <eps> <eps>
0 335 ARBETAR "a
335 336 <eps> r
336 337 <eps> b
337 338 <eps> e:
338 339 <eps> t
339 340 <eps> a
340 341 <eps> r
341 0 <eps> <eps>
0 342 ARBETE "a
342 343 <eps> r
343 344 <eps> b
344 345 <eps> e:
345 346 <eps> t
346 347 <eps> e
347 0 <eps> <eps>
0 348 ARBETET "a
348 349 <eps> r
349 350 <eps> b
350 351 <eps> e:
351 352 <eps> t
352 353 <eps> e
353 354 <eps> t
354 0 <eps> <eps>
0 355 ARG "a
355 356 <eps> r
356 357 <eps> j
357 0 <eps> <eps>
0 358 ARM "a
358 359 <eps> r
359 360 <eps> m
360 0 <eps> <eps>
0 361 ARMÉ a
361 362 <eps> r
362 363 <eps> "m
363 364 <eps> e:
364 0 <eps> <eps>
0 365 ARMÉN a
365 366 <eps> r
366 367 <eps> "m
367 368 <eps> e:
368 369 <eps> n
369 0 <eps> <eps>
0 370 ARTHUR "a
370 371 <eps> t`
371 372 <eps> u0
372 373 <eps> r
373 0 <eps> <eps>
0 374 ATT "a
374 375 <eps> t
375 0 <eps> <eps>
0 376 AV a
376 377 <eps> v
377 0 <eps> <eps>
0 378 AVSKYR "A:
378 379 <eps> v
379 380 <eps> %S
380 381 <eps> y:
381 382 <eps> r
382 0 <eps> <eps>
0 383 AVSLUTA "A:
383 384 <eps> v
384 385 <eps> %s
385 386 <eps> l
386 387 <eps> }:
387 388 <eps> t
388 389 <eps> a
389 0 <eps> <eps>
0 390 AVTAL "A:
390 391 <eps> v
391 392 <eps> %t
392 393 <eps> A:
393 394 <eps> l
394 0 <eps> <eps>
0 395 B "b
395 396 <eps> e:
396 0 <eps> <eps>
0 397 BABY "b
397 398 <eps> E:
398 399 <eps> b
399 400 <eps> I
400 0 <eps> <eps>
0 401 BACKA "b
401 402 <eps> a
402 403 <eps> k
403 404 <eps> a
404 0 <eps> <eps>
0 405 BAD "b
405 406 <eps> A:
406 407 <eps> d
407 0 <eps> <eps>
0 408 BAK "b
408 409 <eps> A:
409 410 <eps> k
410 0 <eps> <eps>
0 411 BAKOM "b
411 412 <eps> A:
412 413 <eps> k
413 414 <eps> O
414 415 <eps> m
415 0 <eps> <eps>
0 416 BAND "b
416 417 <eps> a
417 418 <eps> n
418 419 <eps> d
419 0 <eps> <eps>
0 420 BANDET "b
420 421 <eps> a
421 422 <eps> n
422 423 <eps> d
423 424 <eps> e
424 425 <eps> t
425 0 <eps> <eps>
0 426 BANKEN "b
426 427 <eps> a
427 428 <eps> N
428 429 <eps> k
429 430 <eps> e
430 431 <eps> n
431 0 <eps> <eps>
0 432 BAR "b
432 433 <eps> A:
433 434 <eps> r
434 0 <eps> <eps>
0 435 BARA "b
435 436 <eps> A:
436 437 <eps> r
437 438 <eps> a
438 0 <eps> <eps>
0 439 BAREN "b
439 440 <eps> A:
440 441 <eps> r
441 442 <eps> e
442 443 <eps> n
443 0 <eps> <eps>
0 444 BARN "b
444 445 <eps> A:
445 446 <eps> n`
446 0 <eps> <eps>
0 447 BARNEN "b
447 448 <eps> A:
448 449 <eps> n`
449 450 <eps> e
450 451 <eps> n
451 0 <eps> <eps>
0 452 BARNET "b
452 453 <eps> A:
453 454 <eps> n`
454 455 <eps> e
455 456 <eps> t
456 0 <eps> <eps>
0 457 BE "b
457 458 <eps> e:
458 0 <eps> <eps>
0 459 BEGÄR b
459 460 <eps> e
460 461 <eps> "j
461 462 <eps> E:
462 463 <eps> r
463 0 <eps> <eps>
0 464 BEHÅLLA b
464 465 <eps> e
465 466 <eps> "h
466 467 <eps> O
467 468 <eps> l
468 469 <eps> a
469 0 <eps> <eps>
0 470 BEHÖVA b
470 471 <eps> e
471 472 <eps> "h
472 473 <eps> 2:
473 474 <eps> v
474 475 <eps> a
475 0 <eps> <eps>
0 476 BEHÖVDE b
476 477 <eps> e
477 478 <eps> "h
478 479 <eps> 2:
479 480 <eps> v
480 481 <eps> d
481 482 <eps> e
482 0 <eps> <eps>
0 483 BEHÖVER b
483 484 <eps> e
484 485 <eps> "h
485 486 <eps> 2:
486 487 <eps> v
487 488 <eps> e
488 489 <eps> r
489 0 <eps> <eps>
0 490 BEHÖVS b
490 491 <eps> e
491 492 <eps> "h
492 493 <eps> 2:
493 494 <eps> f
494 495 <eps> s
495 0 <eps> <eps>
0 496 BEKLAGAR b
496 497 <eps> e
497 498 <eps> "k
498 499 <eps> l
499 500 <eps> A:
500 501 <eps> g
501 502 <eps> a
502 503 <eps> r
503 0 <eps> <eps>
0 504 BEN "b
504 505 <eps> e:
505 506 <eps> n
506 0 <eps> <eps>
0 507 BENEN "b
507 508 <eps> e:
508 509 <eps> n
509 510 <eps> e
510 511 <eps> n
511 0 <eps> <eps>
0 512 BER "b
512 513 <eps> e:
513 514 <eps> r
514 0 <eps> <eps>
0 515 BEREDD b
515 516 <eps> e
516 517 <eps> "r
517 518 <eps> E
518 519 <eps> d
519 0 <eps> <eps>
0 520 BEROR b
520 521 <eps> e
521 522 <eps> "r
522 523 <eps> u:
523 524 <eps> r
524 0 <eps> <eps>
0 525 BERÄTTA b
525 526 <eps> e
526 527 <eps> "r
527 528 <eps> E
528 529 <eps> t
529 530 <eps> a
530 0 <eps> <eps>
0 531 BERÄTTADE b
531 532 <eps> e
532 533 <eps> "r
533 534 <eps> E
534 535 <eps> t
535 536 <eps> a
536 537 <eps> d
537 538 <eps> e
538 0 <eps> <eps>
0 539 BERÄTTAR b
539 540 <eps> e
540 541 <eps> "r
541 542 <eps> E
542 543 <eps> t
543 544 <eps> a
544 545 <eps> r
545 0 <eps> <eps>
0 546 BERÄTTAT b
546 547 <eps> e
547 548 <eps> "r
548 549 <eps> E
549 550 <eps> t
